DocId,Tweet,Score,ProecessedTweet,RetweetCount
2553,Obama goes first as U.S. presidential debate opens with Obama saying happy anniversary to wife. Full coverage. #debates http://t.co/zahpO8NU,44.9629,obama goes first as us presidential debate opens with obama saying happy anniversary to wife full coverage #debates,1
1567,#obama touts race to the top as one way to improve economy.  wants to keep tuition low. lower corporate tax rates and close loops.  #debate,43.864401,#obama touts race to the top as one way to improve economy wants to keep tuition low lower corporate tax rates and close loops #debate,0
905,Romney's wearing a red tie and Obama's wearing a blue one --  OH I SEE WHAT YOU GUYS DID THERE #debates,43.354669,romney's wearing a red tie and obama's wearing a blue one oh i see what you guys did there #debates,0
2318,Romney's 5-point plan 1. Create jobs 2. Increase take home pay 3. Make everyone happy 4. World peace 5. Galactic domination #debates,43.33891499999999,romney's point plan create jobs increase take home pay make everyone happy world peace galactic domination #debates,1
386,Happy 20th anniversary Barack & Michelle!!! I love how he told her happy anniversary before he even began his speech !! #PresidentialDebate,42.889088,happy 20th anniversary barack michelle i love how he told her happy anniversary before he even began his speech #presidentialdebate,2
1987,By wishing his wife a happy anniversary to kick off the debate --  President Obama gained himself one job tonight.,42.720813,by wishing his wife a happy anniversary to kick off the debate president obama gained himself one job tonight,23
1935,I'm watching o/ RT: @BarackObama: Watch live: President Obama discusses his specific plans to keep us moving forward in the first president,42.506719,i'm watching o rt watch live president obama discusses his specific plans to keep us moving forward in the first president,0
572,First Presidential Debate.  Love how @BarackObama wishes his wife a happy anniversary first thing.  #Debates,41.953762000000005,first presidential debate love how wishes his wife a happy anniversary first thing #debates,0
5383,Obama --  when asked about jobs and the economy: Happy anniversary --  Michelle. Good point there --  Mr. President. #debate2012,41.057385,obama when asked about jobs and the economy happy anniversary michelle good point there mr president #debate2012,0
1412,Romney is talking about people asking him for help finding a job. How many jobs did he create with the tax cuts Bush gave him? #debates,41.018212000000005,romney is talking about people asking him for help finding a job how many jobs did he create with the tax cuts bush gave him #debates,8
394,@BarackObama: Watch live: President Obama discusses his specific plans to keep us moving forward in the first presidential debate.,40.648619999999994,watch live president obama discusses his specific plans to keep us moving forward in the first presidential debate,0
2681,RT @BarackObama: Watch live: President Obama discusses his specific plans to keep us moving forward in the first presidential debate. ht ...,40.648619999999994,watch live president obama discusses his specific plans to keep us moving forward in the first presidential debate ht,1102
1062,President spent first minute and a half not answering first question. Spent next half a minute giving non specifics to question. #debates,40.332078,president spent first minute and a half not answering first question spent next half a minute giving non specifics to question #debates,0
1433,Question: What is the diff between you two on creating jobs? Pres. Obama gets first answer. But he says happy anniversary to FLOTUS #Debates,40.15434,question what is the diff between you two on creating jobs pres obama gets first answer but he says happy anniversary to flotus #debates,5
2685,Oh you asked me a direct question? I'm going to answer something I want to talk about <-- presidential debate on both sides #debates,39.907184,oh you asked me a direct question i'm going to answer something i want to talk about presidential debate on both sides #debates,0
3261,Oh I get it --  Obama looks at Education as Make Work. Something tells me that Quality and Actual Learning isn't in that plan. #DenverDebate,39.378834999999995,oh i get it obama looks at education as make work something tells me that quality and actual learning isn't in that plan #denverdebate,0
3912,I love a man who can fit an anniversary shout-out to his wife in the slim time he has to make his point during a public debate. #debates,39.205172999999995,i love a man who can fit an anniversary shoutout to his wife in the slim time he has to make his point during a public debate #debates,0
4290,RT @BarackObama: Debate prep: Make sure your friends know President Obamas plan to keep us moving forward. http://t.co/vhSrCTrs --  http:/ ...,39.01467899999999,debate prep make sure your friends know president obamas plan to keep us moving forward http,1291
1638,I like that one is wearing a red tie & the other is wearing blue--would hate to seem like they agree on tie color  #denverdebate #debatefest,38.973719,i like that one is wearing a red tie the other is wearing bluewould hate to seem like they agree on tie color #denverdebate #debatefest,0
167,I know I'm live-tweeting but I don't really want to see live tweets popping up on this live debate I'm watching as well. #debates,38.724457,i know i'm livetweeting but i don't really want to see live tweets popping up on this live debate i'm watching as well #debates,0
1844,Obama's blue tie really brings out his soul. Romney's red tie really brings out his horns. #blatantpartisan #debates,38.688541,obama's blue tie really brings out his soul romney's red tie really brings out his horns #blatantpartisan #debates,0
2666,@tweetTV: #debates get social w/ @tweetTV! See & filter all of the tweets about the debate --  get political fact checks and more! http://t ...,38.656240999999994,#debates get social w see filter all of the tweets about the debate get political fact checks and more,0
2617,Happy anniversary President Obama and Michelle Obama. I want a love like that. With 40 million people watching it.,38.644014000000006,happy anniversary president obama and michelle obama i want a love like that with million people watching it,0
